Team,Generation,Best_Fitness,Avg_Fitness,Epoch,Test
0, 12, 108, 316.95, 3, 0
0, 13, 108, 319.406, 3, 0
0, 14, 107, 314.704, 3, 0
0, 15, 109, 309.114, 3, 0
0, 16, 110, 313.25, 3, 0
0, 17, 110, 308.776, 3, 0
0, 18, 110, 299.614, 3, 0
0, 19, 110, 308.502, 3, 0
0, 20, 108, 306.952, 3, 0
0, 21, 112, 317.818, 3, 0
0, 22, 112, 311.164, 3, 0
0, 23, 111, 316.56, 3, 0
0, 24, 108, 320.702, 3, 0
0, 25, 108, 316.872, 3, 0
0, 26, 111, 306.026, 3, 0
0, 27, 111, 328.844, 3, 0
0, 28, 110, 329.998, 3, 0
0, 29, 110, 303.844, 3, 0
0, 30, 109, 300.332, 3, 0
0, 31, 109, 309.822, 3, 0
0, 32, 107, 300.626, 3, 0
0, 33, 106, 297.696, 3, 0
0, 34, 106, 310.098, 3, 0
0, 35, 107, 306.226, 3, 0
0, 36, 106, 317.962, 3, 0
0, 37, 107, 307.454, 3, 0
0, 38, 107, 316.784, 3, 0
0, 39, 108, 312.754, 3, 0
0, 40, 107, 323.072, 3, 0
0, 41, 107, 322.312, 3, 0
0, 42, 109, 319.704, 3, 0
0, 43, 109, 329.484, 3, 0
0, 44, 107, 310.804, 3, 0
0, 45, 107, 328.408, 3, 0
0, 46, 107, 330.592, 3, 0
0, 47, 107, 325.144, 3, 0
0, 48, 106, 340.104, 3, 0
0, 49, 105, 321.856, 3, 0
1, 0, 25, 425.704, 3, 0
1, 1, 55, 427.352, 3, 0
1, 2, 55, 397.296, 3, 0
1, 3, 25, 360.508, 3, 0
1, 4, 25, 353.536, 3, 0
1, 5, 55, 376.0, 3, 0
1, 6, 55, 338.756, 3, 0
1, 7, 54, 345.364, 3, 0
1, 8, 53, 341.652, 3, 0
1, 9, 53, 313.464, 3, 0
1, 10, 53, 327.892, 3, 0
1, 11, 53, 324.672, 3, 0
1, 12, 53, 329.064, 3, 0
1, 13, 53, 337.336, 3, 0
1, 14, 34, 342.38, 3, 0
1, 15, 53, 322.664, 3, 0
1, 16, 53, 326.432, 3, 0
1, 17, 53, 332.604, 3, 0
1, 18, 53, 345.652, 3, 0
1, 19, 53, 346.98, 3, 0
1, 20, 53, 351.468, 3, 0
1, 21, 53, 351.436, 3, 0
1, 22, 53, 338.36, 3, 0
1, 23, 53, 343.46, 3, 0
1, 24, 53, 338.396, 3, 0
1, 25, 53, 343.464, 3, 0
1, 26, 53, 351.876, 3, 0
1, 27, 53, 325.048, 3, 0
1, 28, 53, 353.684, 3, 0
1, 29, 53, 332.568, 3, 0
1, 30, 53, 351.636, 3, 0
1, 31, 53, 371.7, 3, 0
1, 32, 53, 383.028, 3, 0
1, 33, 53, 356.296, 3, 0
1, 34, 53, 361.664, 3, 0
1, 35, 53, 387.856, 3, 0
1, 36, 55, 346.364, 3, 0
1, 37, 54, 333.2, 3, 0
1, 38, 55, 356.908, 3, 0
1, 39, 57, 354.328, 3, 0
1, 40, 57, 360.308, 3, 0
1, 41, 38, 357.128, 3, 0
1, 42, 57, 354.132, 3, 0
1, 43, 54, 361.716, 3, 0
1, 44, 52, 373.412, 3, 0
1, 45, 55, 378.004, 3, 0
1, 46, 53, 376.344, 3, 0
1, 47, 52, 344.816, 3, 0
1, 48, 53, 354.028, 3, 0
1, 49, 53, 346.408, 3, 0
0, 0, 114, 443.068, 4, 0
0, 1, 113, 317.45, 4, 0
0, 2, 106, 286.606, 4, 0
0, 3, 112, 289.048, 4, 0
0, 4, 111, 293.104, 4, 0
0, 5, 110, 290.318, 4, 0
0, 6, 110, 302.214, 4, 0
0, 7, 110, 295.3, 4, 0
0, 8, 110, 276.498, 4, 0
0, 9, 110, 303.176, 4, 0
0, 10, 111, 320.022, 4, 0
0, 11, 111, 315.658, 4, 0
0, 12, 110, 297.55, 4, 0
0, 13, 108, 286.704, 4, 0
0, 14, 108, 284.278, 4, 0
0, 15, 108, 310.672, 4, 0
0, 16, 111, 307.636, 4, 0
0, 17, 109, 295.96, 4, 0
0, 18, 111, 278.052, 4, 0
0, 19, 111, 274.278, 4, 0
0, 20, 112, 295.414, 4, 0
0, 21, 110, 277.524, 4, 0
0, 22, 107, 265.806, 4, 0
0, 23, 110, 276.422, 4, 0
0, 24, 109, 304.546, 4, 0
0, 25, 110, 288.8, 4, 0
0, 26, 106, 272.01, 4, 0
0, 27, 106, 282.696, 4, 0
0, 28, 110, 277.908, 4, 0
0, 29, 109, 307.926, 4, 0
0, 30, 112, 308.392, 4, 0
0, 31, 111, 309.652, 4, 0
0, 32, 111, 313.074, 4, 0
0, 33, 111, 315.074, 4, 0
0, 34, 111, 325.384, 4, 0
0, 35, 111, 326.902, 4, 0
0, 36, 110, 312.982, 4, 0
0, 37, 111, 289.886, 4, 0
0, 38, 111, 303.036, 4, 0
0, 39, 107, 310.712, 4, 0
0, 40, 108, 286.22, 4, 0
0, 41, 111, 301.052, 4, 0
0, 42, 111, 312.04, 4, 0
0, 43, 111, 308.952, 4, 0
0, 44, 111, 310.068, 4, 0
0, 45, 110, 294.448, 4, 0
0, 46, 110, 292.964, 4, 0
0, 47, 110, 302.342, 4, 0
0, 48, 110, 304.586, 4, 0
0, 49, 110, 318.054, 4, 0
1, 0, 44, 379.092, 4, 0
1, 1, 44, 281.412, 4, 0
1, 2, 44, 320.968, 4, 0
1, 3, 44, 293.124, 4, 0
1, 4, 44, 311.476, 4, 0
1, 5, 44, 353.256, 4, 0
1, 6, 44, 370.088, 4, 0
1, 7, 44, 370.508, 4, 0
1, 8, 44, 368.76, 4, 0
1, 9, 44, 378.552, 4, 0
1, 10, 69, 346.344, 4, 0
1, 11, 69, 342.604, 4, 0
1, 12, 69, 332.724, 4, 0
1, 13, 69, 311.56, 4, 0
1, 14, 69, 291.276, 4, 0
1, 15, 69, 298.688, 4, 0
1, 16, 69, 297.428, 4, 0
1, 17, 69, 308.456, 4, 0
1, 18, 69, 290.336, 4, 0
1, 19, 69, 336.936, 4, 0
1, 20, 69, 286.472, 4, 0
1, 21, 69, 284.532, 4, 0
1, 22, 69, 309.384, 4, 0
1, 23, 69, 316.928, 4, 0
1, 24, 69, 285.524, 4, 0
1, 25, 69, 295.072, 4, 0
1, 26, 69, 310.352, 4, 0
1, 27, 69, 289.184, 4, 0
1, 28, 69, 299.328, 4, 0
1, 29, 69, 294.376, 4, 0
1, 30, 69, 273.044, 4, 0
1, 31, 69, 272.988, 4, 0
1, 32, 69, 269.856, 4, 0
1, 33, 69, 280.908, 4, 0
1, 34, 69, 270.28, 4, 0
1, 35, 69, 289.768, 4, 0
1, 36, 69, 282.208, 4, 0
1, 37, 69, 277.26, 4, 0
1, 38, 69, 282.62, 4, 0
1, 39, 69, 263.384, 4, 0
1, 40, 69, 262.16, 4, 0
1, 41, 69, 273.44, 4, 0
1, 42, 69, 264.92, 4, 0
1, 43, 69, 270.252, 4, 0
1, 44, 69, 273.148, 4, 0
1, 45, 69, 298.1, 4, 0
1, 46, 69, 291.864, 4, 0
1, 47, 69, 283.356, 4, 0
1, 48, 69, 280.216, 4, 0
1, 49, 69, 271.352, 4, 0
0, 0, 133, 632.086, 5, 0
0, 1, 133, 577.116, 5, 0
0, 2, 132, 469.432, 5, 0
0, 3, 132, 392.744, 5, 0
0, 4, 126, 390.748, 5, 0
0, 5, 126, 381.858, 5, 0
0, 6, 125, 372.536, 5, 0
0, 7, 125, 369.72, 5, 0
0, 8, 123, 351.808, 5, 0
0, 9, 124, 354.546, 5, 0
0, 10, 124, 361.852, 5, 0
0, 11, 122, 362.428, 5, 0
0, 12, 124, 384.524, 5, 0
0, 13, 121, 384.038, 5, 0
0, 14, 120, 347.986, 5, 0
0, 15, 119, 352.352, 5, 0
0, 16, 119, 362.144, 5, 0
0, 17, 120, 370.204, 5, 0
0, 18, 122, 356.47, 5, 0
0, 19, 124, 362.596, 5, 0
0, 20, 123, 340.05, 5, 0
0, 21, 123, 317.67, 5, 0
0, 22, 121, 301.39, 5, 0
0, 23, 119, 258.82, 5, 0
0, 24, 122, 274.298, 5, 0
0, 25, 121, 249.662, 5, 0
0, 26, 118, 242.402, 5, 0
0, 27, 118, 229.102, 5, 0
0, 28, 118, 234.814, 5, 0
0, 29, 114, 223.204, 5, 0
0, 30, 116, 215.972, 5, 0
0, 31, 118, 232.132, 5, 0
0, 32, 115, 246.674, 5, 0
0, 33, 116, 224.272, 5, 0
0, 34, 117, 232.952, 5, 0
0, 35, 117, 239.322, 5, 0
