popSize,probCrossover,probMutate,numGens,Stage,Generation,Best_Fitness,Avg_Fitness,test
50, 0.001, 0.001, 10, 4, 5, 215, 224.92, 0
50, 0.001, 0.001, 10, 4, 6, 215, 259.12, 0
50, 0.001, 0.001, 10, 4, 7, 108, 290.32, 0
50, 0.001, 0.001, 10, 4, 8, 108, 276.64, 0
50, 0.001, 0.001, 10, 4, 9, 108, 253.28, 0
50, 0.001, 0.001, 10, 1, 0, 184, 424.18, 1
50, 0.001, 0.001, 10, 1, 1, 179, 202.74, 1
50, 0.001, 0.001, 10, 1, 2, 179, 191.46, 1
50, 0.001, 0.001, 10, 1, 3, 179, 185.8, 1
50, 0.001, 0.001, 10, 1, 4, 177, 182.84, 1
50, 0.001, 0.001, 10, 1, 5, 177, 185.0, 1
50, 0.001, 0.001, 10, 1, 6, 176, 183.1, 1
50, 0.001, 0.001, 10, 1, 7, 176, 179.02, 1
50, 0.001, 0.001, 10, 1, 8, 171, 177.54, 1
50, 0.001, 0.001, 10, 1, 9, 171, 184.56, 1
50, 0.001, 0.001, 10, 2, 0, 144, 408.92, 1
50, 0.001, 0.001, 10, 2, 1, 130, 340.64, 1
50, 0.001, 0.001, 10, 2, 2, 130, 289.04, 1
50, 0.001, 0.001, 10, 2, 3, 130, 194.84, 1
50, 0.001, 0.001, 10, 2, 4, 130, 221.28, 1
50, 0.001, 0.001, 10, 2, 5, 130, 194.76, 1
50, 0.001, 0.001, 10, 2, 6, 130, 204.28, 1
50, 0.001, 0.001, 10, 2, 7, 130, 175.12, 1
50, 0.001, 0.001, 10, 2, 8, 130, 175.28, 1
50, 0.001, 0.001, 10, 2, 9, 130, 182.08, 1
50, 0.001, 0.001, 10, 3, 0, 604, 609.1, 1
50, 0.001, 0.001, 10, 3, 1, 603, 604.66, 1
50, 0.001, 0.001, 10, 3, 2, 526, 602.16, 1
50, 0.001, 0.001, 10, 3, 3, 197, 567.6, 1
50, 0.001, 0.001, 10, 3, 4, 181, 424.6, 1
50, 0.001, 0.001, 10, 3, 5, 171, 236.54, 1
50, 0.001, 0.001, 10, 3, 6, 171, 211.6, 1
50, 0.001, 0.001, 10, 3, 7, 171, 208.44, 1
50, 0.001, 0.001, 10, 3, 8, 171, 175.56, 1
50, 0.001, 0.001, 10, 3, 9, 171, 183.36, 1
50, 0.001, 0.001, 10, 4, 0, 58, 439.6, 1
50, 0.001, 0.001, 10, 4, 1, 58, 305.08, 1
50, 0.001, 0.001, 10, 4, 2, 312, 413.16, 1
50, 0.001, 0.001, 10, 4, 3, 312, 322.04, 1
50, 0.001, 0.001, 10, 4, 4, 312, 324.48, 1
50, 0.001, 0.001, 10, 4, 5, 276, 321.56, 1
50, 0.001, 0.001, 10, 4, 6, 276, 319.36, 1
50, 0.001, 0.001, 10, 4, 7, 276, 307.0, 1
50, 0.001, 0.001, 10, 4, 8, 276, 299.72, 1
50, 0.001, 0.001, 10, 4, 9, 276, 292.8, 1
50, 0.001, 0.001, 10, 1, 0, 177, 510.96, 2
50, 0.001, 0.001, 10, 1, 1, 177, 257.72, 2
